iter	Logloss
0	0.619284475
1	0.55896455
2	0.5080145
3	0.46522115
4	0.428899675
5	0.3981740875
6	0.3723816375
7	0.3493742125
8	0.3298010625
9	0.313006625
10	0.2981285
11	0.2852610375
12	0.2740452375
13	0.2643195875
14	0.25566525
15	0.2480523
16	0.2414040125
17	0.2355308875
18	0.230346675
19	0.2258849125
20	0.2220893375
21	0.2185652375
22	0.2154502625
23	0.212773675
24	0.2103123625
25	0.2082344688
26	0.2064714625
27	0.2047847
28	0.2034279813
29	0.2021417188
30	0.2010915875
31	0.1998556125
32	0.1989165438
33	0.1980781813
34	0.19727835
35	0.1966443875
36	0.1960128063
37	0.1954431625
38	0.1950020625
39	0.1944876
40	0.1941178
41	0.1937607
42	0.1933573563
43	0.1930326813
44	0.1927700375
45	0.1924621562
46	0.1922363
47	0.1919502688
48	0.191656975
49	0.1914424188
50	0.1913066687
51	0.1911499375
52	0.1910038875
53	0.190831775
54	0.1906355563
55	0.190504
56	0.19038355
57	0.1902296125
58	0.1900477437
59	0.1899243687
60	0.1898261375
61	0.1896927375
62	0.189584675
63	0.1894798562
64	0.1894132313
65	0.189327375
66	0.1892522
67	0.1891974437
68	0.1891221625
69	0.188996825
70	0.188913875
71	0.188850825
72	0.18878825
73	0.1886772875
74	0.1885825375
75	0.1885337375
76	0.188495125
77	0.188455775
78	0.1884188375
79	0.1883703125
80	0.1883153875
81	0.1882594125
82	0.1882201562
83	0.1881442125
84	0.1880990063
85	0.1880438437
86	0.1879887
87	0.1879458125
88	0.1879076625
89	0.1878590062
90	0.1878230375
91	0.1878124438
92	0.1877944
93	0.187746825
94	0.1876906625
95	0.187658825
96	0.1876254125
97	0.1875887687
98	0.1875533813
99	0.1875178063
