,precision,recall,coverage,novelty
Top popular,0.0018,0.0014699259867906643,5.096959459803849e-05,0.9735400000000047
Personal ALS,0.00202,0.003527360049681296,0.00293992621641486,0.7888000000000425
Final CatBoost,0.0021,0.0035741457776001717,0.00293992621641486,0.7432000000000402
